"年月日","答申番号","答申内容"
"20180522","30港個運審第1号","特別区民税・都民税及び軽自動車税等に係る収納業務の外部委託の変更について（モバイルレジにクレジット機能を追加）、諮問どおり承認します。"
"20180522","30港個運審第2号","学童クラブ事業収納管理システム構築及び運用保守委託について、諮問どおり承認します。"
"20180522","30港個運審第3号","特殊車両の通行許可及び道路の占用申請等に関する業務の外部委託について、諮問どおり承認します。"
"20180724","30港個運審第4号","収蔵物管理システム構築・運用業務の外部委託及び区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20180724","30港個運審第5号","学校給食調理業務の外部委託について、諮問どおり承認します。"
"20180724","30港個運審第6号","学校教職員庶務事務システムの導入及び保守業務の外部委託について、諮問どおり承認します。"
"20180724","30港個運審第7号","業務の自動化（ＲＰＡ）支援業務の委託及び区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20180828","30港個運審第8号","「芝 de Meet The Art～アートに親しむまち、芝～」の運営外部委託について、諮問どおり承認します。"
"20180828","30港個運審第9号","障害福祉サービス事業者実地指導支援に関する業務の委託について、諮問どおり承認します。"
"20181107","30港個運審第10号","通知書等の印刷及び封入封かん業務委託にかかる区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20181107","30港個運審第11号","ＳＭＳによる勧奨業務にかかる区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20181107","30港個運審第12号","保育所入所ＡＩマッチングシステム導入及び保守・運用支援業務委託について、諮問どおり承認します。"
"20181107","30港個運審第13号","保育園業務支援システム導入業務委託及び区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20181107","30港個運審第14号","セキュリティシステムにおける職員証入室権限変更作業の外部委託について、諮問どおり承認します。"
"20190116","30港個運審第15号","「港区立元麻布保育園」の指定管理者による管理及び「港区立元麻布保育園」開設準備の外部委託について、諮問どおり承認します。"
"20190116","30港個運審第16号","遊び場開放事業の外部委託について、諮問どおり承認します。"
"20190116","30港個運審第17号","学校図書館管理システムの再構築及び保守業務の外部委託について、諮問どおり承認します。"
"20190218","30港個運審第18号","港区防災学校プログラム企画・運営支援業務の外部委託について、諮問どおり承認します。"
"20190218","30港個運審第19号","口腔がん検診業務の外部委託について、諮問どおり承認します。"
"20190218","30港個運審第20号","港区成年後見制度利用促進事業業務の外部委託について、諮問どおり承認します。"
"20190312","30港個運審第21号","「まちのお宝発掘プロジェクト」運営支援業務の外部委託について、諮問どおり承認します。"
"20190312","30港個運審第22号","学校徴収金管理システム導入及び運用保守業務の外部委託について、諮問どおり承認します。"
"20190312","30港個運審第23号","区立幼稚園・小中学校における医療的ケア支援業務の外部委託について、諮問どおり承認します。"
"20190312","30港個運審第24号","オープンデータ公開サイト構築及び運用管理業務の外部委託について、諮問どおり承認します。"
"20190312","30港個運審第25号","議事録自動作成支援ツール運用支援業務の外部委託について、諮問どおり承認します。"
"20190312","30港個運審第26号","指定管理者制度導入施設における労働環境モニタリング業務の外部委託について、諮問どおり承認します。"

"令和元年度港区行政資料集　平成30年度港区個人情報保護運営審議会答申","Ver201903",
